Designator,Mid X,Mid Y,Layer,Rotation
3VDC,84.29,1.72,Top,90
3VFB,84.53,11.24,Top,270
5V-NI1,23.99,22.18,Top,0
5V-NI2,49.43,20.32,Top,180
5VDC,122.01,12.72,Top,180
5VFB,102.79,14.18,Top,270
12VDC,128.34,20.28,Top,0
AVDD,140.65,21.79,Top,180
BOOT,199.81,40.59,Top,0
C1,108.46,4.45,Top,0
C2,91.73,4.64,Top,0
C3,108.46,6.25,Top,0
C4,91.73,6.44,Top,0
C5,28.88,39.11,Top,270
C6,108.36,13.15,Top,90
C7,91.63,13.34,Top,90
C8,112.96,12.85,Top,0
C9,96.23,13.04,Top,0
C10,120.77,40.94,Top,0
C11,104.76,14.55,Top,270
C12,88.03,14.74,Top,270
C13,120.77,33.24,Top,0
C14,115.56,3.15,Top,270
C15,98.83,3.34,Top,270
C16,120.77,25.64,Top,0
C17,113.06,3.15,Top,270
C18,96.33,3.34,Top,270
C19,152.2,26.35,Top,315
C20,152.95,27.09,Top,315
C21,26.28,35.51,Top,0
C22,32.58,38.01,Top,270
C23,18.38,23.61,Top,270
C24,13.38,90.16,Top,270
C25,17.13,90.16,Top,270
C26,12,79.9,Top,0
C27,107.98,90.18,Top,270
C28,112.23,90.16,Top,270
C29,107.37,79.76,Top,0
C30,36.68,90.16,Top,270
C31,40.43,90.16,Top,270
C32,35.95,77.99,Top,0
C33,165.15,31.21,Top,0
C34,165.15,32.31,Top,0
C35,18.29,41.22,Top,270
C36,60.38,90.26,Top,270
C37,64.13,90.26,Top,270
C38,59.47,80.16,Top,0
C39,132.2,90.31,Top,270
C40,136.53,90.36,Top,270
C41,131.67,79.76,Top,0
C42,84.08,90.16,Top,270
C43,88.43,90.16,Top,270
C44,83.37,79.96,Top,0
C45,19.38,29.81,Top,0
C46,48.48,35.23,Top,0
C47,39.74,41.63,Top,270
C48,157.2,90.17,Top,270
C49,161.23,90.17,Top,270
C50,156.25,79.96,Top,0
C51,51.38,39.33,Top,270
C52,55.05,37.44,Top,270
C53,39.88,22.73,Top,270
C54,181.39,89.97,Top,270
C55,186.13,89.97,Top,270
C56,180.95,79.76,Top,0
C57,41.58,28.93,Top,0
C58,148.06,7.44,Top,180
C59,149.34,7.44,Top,0
C60,136.99,18.35,Top,180
C61,139.46,16.87,Top,0
C62,138.76,20.96,Top,180
C63,138.31,19.72,Top,90
C64,165.41,26.43,Top,90
C65,171.29,10.03,Top,180
C66,171.78,11.65,Top,180
C67,168.64,25.01,Top,0
C68,159.86,9.69,Top,315
C69,162.64,12.61,Top,315
C70,162.15,16.03,Top,45
C71,160.75,17.43,Top,45
C72,152.26,17.16,Top,135
C73,156.53,19.86,Top,45
C74,162.66,15.53,Top,45
C75,161.64,16.55,Top,45
C76,153.13,9.25,Top,225
C77,160.25,17.95,Top,45
C78,167.97,4.77,Top,90
C79,195.99,19.6,Top,90
C80,186.96,19.43,Top,90
C81,186.9,28.86,Top,0
C82,186.89,29.6,Top,0
C83,201.34,31.65,Top,0
C84,175.66,35.36,Top,90
C85,177.29,36.24,Top,90
C86,171.3,27.67,Top,270
C87,171.3,30.31,Top,90
C88,172.32,30.03,Top,270
C89,179.3,22.97,Top,270
C90,178.3,22.97,Top,270
C91,183.79,31.19,Top,270
C92,180.2,35.22,Top,0
C93,183.79,29.89,Top,90
C94,178.9,35.22,Top,0
C95,176.4,35.37,Top,90
C96,183.8,27.49,Top,270
C97,181.23,17.89,Top,90
C98,181,15.4,Top,0
C99,175.81,17.14,Top,270
C100,178.59,19.07,Top,90
C101,152.63,9.75,Top,225
C102,137.6,19.7,Top,90
C103,171.48,36.63,Top,0
C104,136.5,20.1,Top,0
C106,172.2,51.6,Top,90
C107,169.7,51.6,Top,90
C108,167.1,51.6,Top,90
C109,164.6,51.6,Top,90
C110,187.6,51.6,Top,90
C111,185.2,51.6,Top,90
C112,182.5,51.5,Top,90
C113,180,51.5,Top,90
D1,33.98,57.47,Top,90
D2,57.69,57.52,Top,90
D3,81.29,57.04,Top,90
D4,105.28,56.87,Top,90
D5,129.06,57.09,Top,90
D6,153,56.59,Top,90
D7,177.93,58.08,Top,90
D8,202.83,57.74,Top,90
D9,31.68,27.31,Top,270
D10,26.9,44.8,Top,0
D11,18.88,33.31,Top,180
D12,48.28,44.91,Top,0
D13,54.38,27.03,Top,270
D14,40.58,33.73,Top,180
D15,123.56,8.36,Top,180
DAT,169.01,33.81,Top,0
DSP,136.69,3.8,Top,180
DVDD,165.9,16.21,Top,0
ESD1,175.22,11.75,Top,90
FB-NI1,29.68,33.51,Top,0
FB-NI2,52.08,33.43,Top,0
GND,128.34,17.71,Top,180
GND-3,91.93,2.04,Top,180
GND-5,108.86,1.85,Top,0
IC1,108.16,9.05,Top,90
IC2,91.43,9.24,Top,90
IC3,135.81,29.05,Top,90
IC4,148.45,29.95,Top,135
IC5,48.08,38.23,Top,90
IC6,13.16,83.72,Top,270
IC7,108.4,83.73,Top,270
IC8,37.2,83.84,Top,270
IC9,160.85,33.41,Top,180
IC10,60.97,83.99,Top,270
IC11,132.45,83.62,Top,270
IC12,84.34,84.01,Top,270
IC13,25.88,38.11,Top,90
IC14,157.11,83.74,Top,270
IC15,156.78,14.29,Top,315
IC16,181.74,83.66,Top,270
IC17,140.77,19.26,Top,270
IC18,163.45,23.13,Top,0
IC19,157.42,22.98,Top,270
IC20,178.04,28.99,Top,180
IC21,178.62,17.17,Top,0
IC22,168.55,36.47,Top,90
IOVDD,165.43,3.61,Top,0
J2,37.1,13.9,Top,270
J7,39.76,13.9,Top,270
J8,116.25,19.35,Top,90
J9,208.07,46.04,Top,270
J10,205.71,46.06,Top,270
L-REC1,22.46,47.86,Top,180
L-REC2,44.51,47.95,Top,180
L1,114.36,8.95,Top,0
L2,97.63,9.14,Top,0
L3,25.88,27.51,Top,0
L4,183.23,23.58,Top,90
L5,48.18,27.33,Top,0
OPT1,168.65,46.15,Top,180
OPT2,184.1,46,Top,180
P3ON,81.56,17.86,Top,0
P5ON,81.56,15.82,Top,0
P12ON,81.56,13.67,Top,0
PWR,153,38.58,Top,0
R1,102.1,6.3,Top,180
R2,87.15,6.59,Top,180
R3,103.86,7.65,Top,0
R4,105.96,8.35,Top,90
R5,87.13,7.94,Top,0
R6,89.23,8.54,Top,90
R7,110.76,10.95,Top,270
R8,105.96,11.45,Top,90
R9,94.03,11.14,Top,270
R10,89.23,11.64,Top,90
R11,105.96,14.55,Top,270
R12,104.76,11.45,Top,270
R13,89.23,14.74,Top,270
R14,88.03,11.64,Top,270
R15,162.69,18.02,Top,225
R16,149.34,8.17,Top,0
R17,161.01,45.96,Top,90
R18,156.52,45.91,Top,90
R19,151.84,45.93,Top,90
R20,147.24,45.93,Top,90
R21,142.64,45.93,Top,90
R22,138.04,45.93,Top,90
R23,133.44,45.93,Top,90
R24,128.84,45.93,Top,90
R33,13.38,94.18,Top,270
R34,17.14,94.18,Top,270
R35,15.27,98.51,Top,180
R36,16.25,79.84,Top,0
R37,16.22,77.71,Top,180
R38,16.23,75.4,Top,180
R39,12,75.52,Top,180
R40,12.03,77.77,Top,0
R41,107.98,94.4,Top,270
R42,112.24,94.38,Top,270
R43,110.21,98.54,Top,180
R44,111.38,79.7,Top,180
R45,111.42,77.66,Top,180
R46,111.38,75.48,Top,180
R47,107.36,75.5,Top,180
R48,107.38,77.62,Top,0
R49,36.68,94.38,Top,270
R50,40.44,94.38,Top,270
R51,38.56,98.64,Top,180
R52,39.98,80.1,Top,180
R53,40.02,77.96,Top,180
R54,40.03,75.93,Top,180
R55,35.94,75.9,Top,180
R56,35.94,80.12,Top,0
R57,156.33,38.49,Top,270
R58,157.43,38.49,Top,270
R59,171.5,51.6,Top,270
R60,30.58,39.11,Top,90
R61,29.78,36.51,Top,180
R62,33.07,46.95,Top,270
R63,176.05,51.95,Top,90
R64,191.95,52.15,Top,90
R65,60.38,94.48,Top,270
R66,64.14,94.48,Top,270
R67,62.31,98.74,Top,180
R68,63.48,80.1,Top,180
R69,63.49,77.99,Top,180
R70,63.48,75.88,Top,180
R71,59.46,75.9,Top,180
R72,59.48,78.02,Top,0
R73,132.2,94.43,Top,270
R74,136.54,94.48,Top,270
R75,134.46,98.64,Top,180
R76,135.78,79.7,Top,180
R77,135.72,77.56,Top,180
R78,135.68,75.48,Top,180
R79,131.66,75.5,Top,180
R80,131.68,77.62,Top,0
R81,84.1,94.27,Top,270
R82,88.44,94.28,Top,270
R83,86.46,98.69,Top,180
R84,87.48,79.9,Top,180
R85,87.52,77.76,Top,180
R86,87.58,75.68,Top,180
R87,83.46,75.7,Top,180
R88,83.38,77.82,Top,0
R89,156.25,33.51,Top,90
R90,161.45,27.51,Top,180
R91,160.55,39.21,Top,90
R92,159.35,39.21,Top,90
R93,145.25,21.71,Top,180
R94,119.28,17.24,Top,180
R95,122.68,17.24,Top,180
R96,15.18,29.81,Top,0
R97,157.3,94.4,Top,270
R98,161.34,94.4,Top,270
R99,159.42,98.56,Top,180
R100,160.4,79.9,Top,180
R101,160.4,77.76,Top,180
R102,160.4,75.68,Top,180
R103,156.24,75.7,Top,180
R104,156.26,77.82,Top,0
R105,52.18,36.53,Top,180
R106,54.03,46.98,Top,270
R107,53.08,39.33,Top,90
R108,37.48,28.93,Top,0
R109,139.46,16,Top,0
R110,201.4,29.3,Top,0
R111,158.94,26.56,Top,90
R112,193.66,40.6,Top,180
R113,181.39,94.1,Top,270
R114,186.14,94.1,Top,270
R115,184.16,98.41,Top,180
R116,185.1,79.8,Top,180
R117,185.1,77.66,Top,180
R118,185.1,75.48,Top,180
R119,180.94,75.5,Top,180
R120,180.96,77.62,Top,0
R121,178.31,6.66,Top,0
R122,171.32,34.59,Top,270
R123,82.73,2.39,Top,90
R124,176.72,6.12,Top,90
R125,173.74,6.54,Top,90
R126,169.74,13.08,Top,270
R127,169.73,11.78,Top,270
R128,158.17,25.64,Top,90
R129,157.02,25.36,Top,0
R130,154,23.58,Top,0
R131,169.23,4.75,Top,90
R132,193.75,35.81,Top,0
R133,186.9,26.66,Top,0
R134,186.91,25.9,Top,0
R135,185.6,29.6,Top,0
R136,185.61,28.87,Top,0
R137,185.61,28.14,Top,0
R138,185.6,30.33,Top,0
R139,185.6,27.4,Top,180
R140,185.62,25.17,Top,180
R141,185.52,19.42,Top,270
R142,197.77,19.59,Top,270
R143,182.77,32.66,Top,180
R144,171.3,28.98,Top,270
R145,174.26,24.23,Top,270
R146,186.96,22.58,Top,90
R147,164.01,7.21,Top,270
R148,102.62,17.22,Top,180
R149,130.31,11.35,Top,270
R150,111.46,18.24,Top,180
R151,152.88,37.06,Top,180
R152,136.5,19.4,Top,0
R153,169,51.6,Top,270
R154,166.4,51.6,Top,270
R155,163.9,51.6,Top,270
R156,186.9,51.6,Top,270
R157,184.5,51.6,Top,270
R158,181.8,51.5,Top,270
R159,179.3,51.5,Top,270
R160,162.19,18.52,Top,225
R161,109.5,13.1,Top,270
R162,105.1,6.3,Top,0
REF1,136.97,15.76,Top,180
RESET,199.88,35.76,Top,180
SW,118.11,10.76,Top,270
SW3,98.13,15.04,Top,180
USBC,175.22,-0.6,Top,0
VBUS,168.08,13.36,Top,180
VNI1,27.18,33.01,Top,90
VNI2,49.38,33.03,Top,270
VREF,141.78,16.33,Top,0
X1,148.5,5.44,Top,0
X2,169.1,28.97,Top,90
Z1,121.84,20.3,Top,0
R25,15.26,98.54,Bottom,180
R26,110.21,98.57,Bottom,180
R27,134.46,98.67,Bottom,180
R28,159.42,98.59,Bottom,180
R29,184.16,98.44,Bottom,180
R30,86.46,98.72,Bottom,180
R31,62.31,98.77,Bottom,180
R32,38.56,98.67,Bottom,180
